text,updateDt
"Dee-1 is usually on point but I think he’s off base here.  Jesus said the Kingdom of God lives within us.  That means we are living expressions of God.  So, what’s the use of calling someone a clown for claiming who they are and not being humble about their success?  Kanye might be a little off mentally, but he’s still an example of what is possible when we are tapped into the powers we share with our creator.",2024-05-28
"Dee represents someone who doesn’t play with duality. It’s natural in today’s society to try to serve 2 Gods; spiritual & financial for example, but you will always have to make a choice, of which is greater to YOU.. Dee seem like he not gon waiver on fake sh!t no matter who saying/doing it. We can get somewhere with tht type of commitment",2024-05-28
"I could hear Bigga right now asking Dee-1 in this interview :

“You’ve been speaking about Christianity how are closer are you with God ?”  - Bigga",2024-05-27
The dumbest thing u can see is black folks fighting for Christianity smfh,2024-05-27
I root for kanye but he all over the place... #HowSway #YouAintGotTheAnswers,2024-05-27
Dee 1 just go to gospel rap daamn,2024-05-27
✝️SAINT COLORED COAT on YouTube😇I Christian rap🔥🔥🎶I'M UNO🚫🎓Jesus is 👑 💙,2024-05-27
Perfect question to end the clip Math 🫡,2024-05-27
I got the hardest freestyle in jersey play Moneyboy yb top 5 outta jersey all platforms me Moneyboy YB,2024-05-27
Curse words don’t dictate if a person believes in god or not smh. Gotta watch these false prophets,2024-05-27
"These titles @ statements be so clout chasey, weak Christian minds will never understand. Call a man a clown when you don’t agree is wild",2024-05-27
"This is wild right after the Ross video, actions have consequences nobody is untouchable.",2024-05-27
"Boa u a rapper , rap your issues",2024-05-27
Kanye understands that Christianity is just Sun worship. Christ consciousness is within all of us but we are stuck in our ego Most of the time.,2024-05-27
😂😂😂😂 this video isn’t going to age well at all. 🤡 boy. YE24!!! He ain’t like us .,2024-05-27
"""I have said, Ye are gods; and all of you are children of the most High"" Psalm 82:6",2024-05-27
🔥 interview keep standing on that truth Dee 1,2024-05-27
👍👌👏,2024-05-27
"How's the Church gonna be mad when they put Kanye  (allegedly, a man on meds with mental health issues) out front as their poster boy?    That sounds really exploitative to me.   It reminds me the documentary, ""Marjoe"".
-Marjoe Gorter 1972：documentary  https://www.youtube.com/watch?v=MFaMfRSqfBU&t=1814s",2024-05-27
Sometimes we let Artists slide with being crappy humans just because we love their art,2024-05-27
The disrespect!  Okay you got my click!,2024-05-27
"Drake tried to sign Dario Gold and chad Billyon after hearing there songs ,jupiter, strip club, not like us part 2,rock ah bye baby, OMG, are you dumb just to list a few songs",2024-05-27
"YE!!
DONT GO INTO THE ADULT INDUSTRY 
THAT IS POISON THATS ALREADY EFFECTING YOUR FAMILY",2024-05-27
His clothes do not look good,2024-05-27
When man’s was pro Jesus none of y’all was on some pro ye stuff.  A lot of yall need to grfoh.,2024-05-27
D1 ; not feeling the brother. I feel like he has a slave mentality,2024-05-27
I never thought of Kanye as a man of God💯 he just likes attention,2024-05-27
Glass house 🥷,2024-05-27
Everyone has a real opinion at the end of the day. A lot of brothers sell out west went south mentally Hypocrites go down under 🤔 christianity small wonder,2024-05-27
Dee 1 needs to grow up (spiritually),2024-05-27
Attention has alwayd been the currency since biblical times. God did what he did to get your attention...lol,2024-05-27
"Christians be the most loving, hating people. Ye has the right to change his perspective. Christians are sheep, easily led and believe what they’re told. Knowledge > belief. Even the Bible says ye are Gods",2024-05-27
THANK YOU FOR YOUR WORK DEE1!,2024-05-27
"Lol, that's in the bible...""havent I told you ye are gods.""",2024-05-27
I swear Mecca be d ridin every guest,2024-05-27
Why doesn’t Jesus Christ cause the good brother Dee1 to be as popular as those he has criticism for?? Fair question ✌🏾,2024-05-27
Убойный просто Remix!👍,2024-05-27
We causing earthquakes with dis one _🗣️🗣️_,2024-05-27
This is 🔥🔥🔥,2024-05-27
Que buen tamzo👍,2024-05-27
does anyone know which software/program this is??,2024-05-28
Wow he look gay now. lol,2024-05-27
I thought he'd have changed more not  extremely noticeable,2024-05-27
Who decides what’s perfect,2024-05-27
5,2024-05-27
Do Billie eillsh  and melanie martinez,2024-05-27
Where my Swifties at? 🤍✨,2024-05-27
Second,2024-05-27
First,2024-05-27
🗑️,2024-05-27
“IF YOU AINT NO PUNK HOLLA WE WANT PRENUP! WE WANT PRENUP YEAHHHH!!!!!!!!”,2024-05-28
Yup,2024-05-28
TRUE KANYE STORY LIKE CHARLIE MURPHY STORY .. FOXX AS CHAPPELLE!!! ❤😂😅😅😅,2024-05-28
Imagine if this loop was taken by Chance for The Big Day.,2024-05-27
Taking me back… these stems are too goated,2024-05-28
my fav version of the hook ngl,2024-05-28
"field trip production with a beat switch demo leak don't know if it's real Or not

https://youtube.com/shorts/sFTAmR_yJM8?si=oJ5FvlHTOR3hy4Ux",2024-05-28
CHANCE THE LEAKER,2024-05-28
No way it was GAJ thats crazy,2024-05-28
Yessssssssssss,2024-05-27
80 degreeees,2024-05-27
tf in the minute 1:07 he actually sang the chorus from moon,2024-05-27
Final version clears hard unfortunately,2024-05-27
Og’s remember when it was titled 80 degrees,2024-05-27
real ones know that v0 was of some struggling latin guy musician who met ye out in public and rapped to him over this beat,2024-05-27
We need the whole yandhi leak,2024-05-27
HOLY FUCK I WANTED TO HEAR THIS FOR SO LONG THANK YOU,2024-05-27
I can walk on the waaa 😫😩,2024-05-27
goosebumps kanye voice,2024-05-27
I know this turned into 80 degrees but it sounds like it also could’ve maybe turned into Nights On The Moon with a similar melody,2024-05-27
Clouted up next? 😁,2024-05-27
THE BEAT WONT FUCKING DROP,2024-05-27
dont goon me down,2024-05-27
Ye told Chance don't let me down and he really let him down 😭,2024-05-27
LEAKY DEGREES,2024-05-27
Ye is so pookie coded,2024-05-27
Im bricked,2024-05-27
Don't freak me down 🗣🗣🗣,2024-05-27
FINDIN A FREAAAAK 🗣️🗣️🗣️🔥,2024-05-27
GOAT,2024-05-27
GAJ have official cover art or is that picture?,2024-05-27
"Good Ass Job 2018, Yandhi, Jesus Is King, God's Country, DND WTH CHLD, Donda V2 and Donda V3. 

And in the end the chorus remained as in the first version.",2024-05-27
YOU HAVE ALL THAT PLEASE,2024-05-27
"""SIT YO ASS DOWN!""",2024-05-27
NOTHING EVER TOPS THE OG ONE THAT WORLDSTAR POSTED. LEGENDARY SHIT.,2024-05-27
"THIS IS A BIG LEAK, PLEASE FIX THE DAMN PIPELINE 🗣🔥🔥🔥",2024-05-27
DONT LEAK ME DOWN🗣️🗣️⁉️,2024-05-27
the only good thing about gaj 2018,2024-05-27
And the idiot gave himself one month to make 11 brand new finished songs 🤦‍♂️,2024-05-27
need the ant ref 😭,2024-05-27
Where are all the new leaks coming from? Other than the GB,2024-05-27
"is incredible how this sample completely transformed ye's mentality to the point of doing yhandi, donda v1, donda v2, donda v3 and donda 2",2024-05-27
IT’S LEAKING EVERYWHERE💯🔥🔥‼️‼️,2024-05-27
"This project had a cool sound, clouted up is such an earworm",2024-05-27
You fell off 𝓃𝒾𝓰𝓰𝒶,2024-05-27
Leakin rn,2024-05-27
Ye is such a pookie,2024-05-27
We are SOOOO BACK,2024-05-27
Greatest song ever,2024-05-27
DONT LET ME LEAK,2024-05-27
It al began here,2024-05-27
We winning,2024-05-27
We can be,2024-05-27
this is so fire,2024-05-28
It’s beautiful🥹,2024-05-27
It’s nice when someone really stick by your side no matter what,2024-05-28
Keep on grinding brotha that track is fire 🔥🔥,2024-05-27
Definitely can see YE doin this one,2024-05-27
so crediting people is out of fashion now?!,2024-05-27
tear the internet 😿,2024-05-28
bro just stole this and uploaded it 😭,2024-05-27
Shoutout To @UNDERDAWGOFFICIAL,2024-05-27
I’m so glad I finished it,2024-05-27
Art,2024-05-27
Wtf she know bout cameras,2024-05-28
"""Look at GAH GAH!""",2024-05-28
Damn Kobie spitted deep,2024-05-28
SPOTIFY PLISS 🙏🙏🙏🔥🔥🔥,2024-05-28
2:43 (outro instrumental),2024-05-28
2:19 (travis medio) 2:36 (medio2),2024-05-28
2:02 (medio2),2024-05-28
1:08(medio),2024-05-28
how u get this uploaded on yt without the worldwide restriction,2024-05-28
25k group buy? huh can someone pls explain,2024-05-27
This is absurde,2024-05-27
"https://krakenfiles.com/view/9xnogSFKwq/file.html 
Download link",2024-05-27
I mean it’s good but we basically already had it. Not worth the 25k group buy,2024-05-27
Yoo where did you get this version of the song ?🔥🔥🔥,2024-05-27
Can't believe we finally got it,2024-05-27
You deserve more credit great artwork!,2024-05-27
Escupo veneno 🗣️🔥,2024-05-28
This is mad tuff,2024-05-28
🔥🔥🔥,2024-05-28
"Why buy leaks while you can just wait for dumbasses to buy them and just listen to it for free when they do. It’s good but not for 25k, that’s absurd.",2024-05-28
some mixing and this song will be incredible,2024-05-27
kanye bee,2024-05-27
25k later,2024-05-27
wundermind instrumental is growing on me,2024-05-28
SPOTIFY PLISS (Incredible version better than the original),2024-05-28
this is def better than the official,2024-05-28
that humming is so fucking good,2024-05-27
feel like travis coudlve been mixed better but i like dis alot,2024-05-27
This is nice! What's with the girl whispering sound in the background though?,2024-05-27
that’s my dawg,2024-05-27
Bro what did you add to it to make it better 😭,2024-05-28
Bruh I was JUST MENTIONING THIS: “all we need is a little AI EDIT to fill in the second verse and bring back Kirby Lauryn” and LO AND BEHOLD,2024-05-28
DAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAMN.,2024-05-28
KENYA BEE ‼️‼️‼️,2024-05-28
this would be kanye’s #1 song and it’s not close,2024-05-28
Hey mate the untitled link isn’t working?,2024-05-28
Where’s Travis Other verse,2024-05-28
You fixed the mumblessss,2024-05-28
Fire! Ye leaks are better than most artists best.,2024-05-28
"Bro thats so fire I NEED IT NOW, THIS IS HOW FULL VERSION SHOULD SOUND LIKE",2024-05-28
Can you put this on [Untitled] and send the link 🙏,2024-05-28
"this is so hard. idk why he never used the ""never let me go"" portion on can u be",2024-05-28
THAT ONE YEDIT🗣️🗣️🗣️🗣️🔊🔊🔊🔊🔥🔥🔥🔥🔥,2024-05-28
THE OUTRO??? WHAT?????? THIS IS CRAZY,2024-05-28
we're going to be,2024-05-27
🗣️WE'RE GETTING OUTTA UNIQLO WITH THIS ONE 🔥,2024-05-27
THIS IS THE ONE,2024-05-27
Insane,2024-05-27
this actually fire edit,2024-05-27
The only vid that doesn't lie when it says best version,2024-05-27
thanks for the mix,2024-05-27
yea this the one fs 🔥,2024-05-27
did you make the piano or is it somewhere in the stems?,2024-05-27
gj man thats fire,2024-05-27
you should add the 'I got 3 words for my ns getting married seriously' part,2024-05-27
this is pretty clean,2024-05-27
I could have never known I needed this that bad,2024-05-27
JUST FOUND OUT MY FATHER IN LAW UNISEX🔥🔥🔥,2024-05-27
"Bro, howannaoficial reposted this claiming he made It. U gotta check that out",2024-05-27
This is fire,2024-05-27
I cought a wave is the craziest flow - and needs to be on the song,2024-05-27
Why is there no dj khaled lines,2024-05-27
I know you guys won't disappoint,2024-05-27
That Outro is so fire 🔥,2024-05-27
🇰🇪 🐝,2024-05-27
Have had this on repeat like 10 times haha this is the best. Reckon you could add mitus touch on the end?,2024-05-27
Already best song oat,2024-05-27
holy fuck that end bruh,2024-05-27
why he dissing uniqlo they have some good stuff,2024-05-27
